TW_0088,감천항,35.052,129.003
TW_0077,경인항,37.523,126.592
TW_0089,경포대해수욕장,37.808,128.931
TW_0095,고래불해수욕장,36.58,129.454
TW_0074,광양항,34.859,127.792
TW_0072,군산항,35.984,126.508
TW_0091,낙산해수욕장,38.122,128.65
KG_0025,남해동부,34.222,128.419
TW_0069,대천해수욕장,36.274,126.457
KG_0024,대한해협,34.919,129.121
TW_0085,마산항,35.103,128.631
TW_0094,망상해수욕장,37.616,129.103
TW_0087,부산항,35.091,129.085
TW_0086,부산항신항,35.043,128.761
TW_0079,상왕등도,35.652,126.194
TW_0081,생일도,34.258,126.96
TW_0093,속초해수욕장,38.198,128.631
TW_0090,송정해수욕장,35.164,129.219
TW_0083,여수항,34.794,127.808
TW_0078,완도항,34.325,126.763
TW_0080,우이도,34.543,125.802
KG_0101,울릉도북동,38.007,131.552
TW_0076,인천항,37.389,126.533
TW_0092,임랑해수욕장,35.302,129.292
KG_0021,제주남부,32.09,126.965
KG_0028,제주해협,33.7,126.59
TW_0082,태안항,37.006,126.27
TW_0084,통영항,34.773,128.46
TW_0070,평택당진항,37.136,126.54
HB_0002,한수원_고리,35.318,129.314
HB_0009,한수원_나곡,37.119,129.395
HB_0008,한수원_덕천,37.1,129.404
HB_0007,한수원_온양,37.019,129.425
TW_0062,해운대해수욕장,35.148,129.17
